message_id,timestamp,author,channel,message
1454346560312705094,2025-12-27T05:34:00.431000+00:00,gurnoor01366,🎉︱introduce-yourself,"Hello everyone,
I am Gurnoor a Bachelor of computer science student falling in data science rabbit hole at Deakin Burwood. Excited to learn and share experiences."
1451492267067052125,2025-12-19T08:32:03.891000+00:00,shrutisarva,🎉︱introduce-yourself,"Hi all! 👋
I’m Shruti, a Master of Data Science (Professional) student at Deakin Burwood.
Background in software and cloud, now exploring data science, analytics, and ML.
Keen to learn, collaborate, and grow together!"
1450073997998817280,2025-12-15T10:36:22.195000+00:00,jazziik4,🎉︱introduce-yourself,"Hey guys, feeling a little overwhelmed seeing how good everyone else is. My names Jarrod, currently studying a Bachelor of Commerce (Economics) and Bachelor of Business Analytics double part time. 

Currently work at Macquarie Bank in the adviser services portion of the business but hoping to upskill to the data or investment arms at some point. Really keen to learn from everyone and discuss all the random things!"
1449994765021089822,2025-12-15T05:21:31.581000+00:00,yashkalra2955,🎉︱introduce-yourself,"Hi everyone! 👋
My name is Yash Kalra, and I’m currently studying a Bachelor of Computer Science majoring in Data Science at Deakin University (Burwood). I’ve just joined the Deakin Data Science Club and am really keen to get involved, learn from the community, and contribute wherever possible. Looking forward to connecting with you all!"
1448518481166336132,2025-12-11T03:35:18.082000+00:00,Mark Zukerberg#1179,🎉︱introduce-yourself,Hello
1448518479584952404,2025-12-11T03:35:17.705000+00:00,rexv801,🎉︱introduce-yourself,$hello
1448515170015117464,2025-12-11T03:22:08.642000+00:00,rexv801,🎉︱introduce-yourself,$hello
1439995090461528256,2025-11-17T15:06:23.381000+00:00,b.pritchard,🎉︱introduce-yourself,are you taking some units in T3?
1439994953966157906,2025-11-17T15:05:50.838000+00:00,b.pritchard,🎉︱introduce-yourself,very nice!
1439994903294775349,2025-11-17T15:05:38.757000+00:00,kython2202,🎉︱introduce-yourself,BSC in Maths and that was 21 years ago. Upskilling myself to DS and AI now
1439994616857497690,2025-11-17T15:04:30.465000+00:00,b.pritchard,🎉︱introduce-yourself,"hey <@988232690165743677> glad you're here 🙋‍♂️
what was your undergrad in?"
1439838936733061170,2025-11-17T04:45:53.431000+00:00,kython2202,🎉︱introduce-yourself,Hello everyone I am a student of Ms in Data Science (Global) program. Here to learn from everyone's experience and solve interesting DS problems
1439084235141939295,2025-11-15T02:46:58.550000+00:00,paltita_aea,🎉︱introduce-yourself,yeahhhh
1439083552640602246,2025-11-15T02:44:15.829000+00:00,pronubamazing123123,🎉︱introduce-yourself,goated truck life simulator
1439077998945898538,2025-11-15T02:22:11.725000+00:00,b.pritchard,🎉︱introduce-yourself,i think <@423379328739573760> played that
1439073515889233932,2025-11-15T02:04:22.881000+00:00,paltita_aea,🎉︱introduce-yourself,Interesting
1439073492321570938,2025-11-15T02:04:17.262000+00:00,paltita_aea,🎉︱introduce-yourself,Ohhh
1439073464810995754,2025-11-15T02:04:10.703000+00:00,paltita_aea,🎉︱introduce-yourself,"Ohh, nice, its not sim race, but I used to play euro truck sim 2"
1439069727413633224,2025-11-15T01:49:19.638000+00:00,b.pritchard,🎉︱introduce-yourself,i usually play older games since my gpu is a little outdated. thanks DLSS 😅
1439069568860426280,2025-11-15T01:48:41.836000+00:00,b.pritchard,🎉︱introduce-yourself,"cool.
i'm a sim racer myself, but dabble in most genres when i get a chance."
1439069149887467521,2025-11-15T01:47:01.945000+00:00,paltita_aea,🎉︱introduce-yourself,"A lot of games, you can check my profile to see which im playing current"
1439068878075592744,2025-11-15T01:45:57.140000+00:00,Pokétwo#8236,🎉︱introduce-yourself,
1439068873839087647,2025-11-15T01:45:56.130000+00:00,paltita_aea,🎉︱introduce-yourself,Computer science!
1438975272517894296,2025-11-14T19:33:59.836000+00:00,kurama_025,🎉︱introduce-yourself,"Hey folks.
I’m a Fullstack + AI + Web3 engineer with 7+ years of experience building real-world systems that blend AI, automation, and blockchain.
I’ve worked on:
- LLM & agent systems (LangChain, CrewAI, RAG)
- AI-powered DeFi & DAO tools (autonomous wallets, auditing, forecasting)
- Voice, vision & NLP pipelines (Whisper, CLIP, TTS/ASR)
- Fullstack + infra (Next.js, FastAPI, Docker, AWS, Solana, Ethereum)

Previously built AI-blockchain agents at Spherium.Finance and LLM analytics engines at Finatext, cutting manual ops by 30–40%.

If you’re working on something cool in AI, agents, or Web3, I’m always down to collaborate or help build."
1438870045190258719,2025-11-14T12:35:51.686000+00:00,b.pritchard,🎉︱introduce-yourself,"also, which course are you enrolled in, bachelor of ..."
1438869592301764628,2025-11-14T12:34:03.709000+00:00,b.pritchard,🎉︱introduce-yourself,"hey <@676546884831019037> glad you're here.
which games do you play?"
1438869287614808065,2025-11-14T12:32:51.066000+00:00,b.pritchard,🎉︱introduce-yourself,great. lots of people here have completed that. so don't be shy to ask about things.
1438835486691950714,2025-11-14T10:18:32.298000+00:00,bigari43,🎉︱introduce-yourself,I'll be doing SIT112 in Semester 1 next year
1438518714562510930,2025-11-13T13:19:47.937000+00:00,paltita_aea,🎉︱introduce-yourself,"Hello there, i'm Lucas, im on my 2nd year of uni (Deakin Burwood)
I'm from Argentina
Love playing video games
I do calisthenics
And most importantly, I like what I study, which is data science
Im going to be taking quite a bunch of data science related units on 2026, so hope to meet some of you there! <:GatoChill:1280677087220334612>"
1437338239278125164,2025-11-10T07:09:00.697000+00:00,b.pritchard,🎉︱introduce-yourself,<@614338398995480583> are you taking any data science units this trimester?
